id,device_id,product_name,product_sku,product_name2,count if,amount,status,card_number,cvv,created_at,happened_at
1,169,libero. Morbi,3.77E+12,"amet,",7,749,cancelled,2.01E+14,714,10/16/2022 3:52,5/15/2022 8:10
2,9,"hendrerit a,",3.77E+12,magna,10,235,refused,3477 282862 44521,146,2/22/2023 9:02,8/15/2022 9:06
3,25,neque vitae,3.77E+12,"montes,",4,304,accepted,4.56E+15,562,2/27/2023 6:21,1/26/2022 6:50
4,89,Sed eu,3.77E+12,erat,14,141,accepted,3628 676867 82399,891,1/1/2023 3:10,10/9/2022 7:59
5,40,dolor. Nulla,3.77E+12,Etiam,3,549,cancelled,4.90E+18,345,10/9/2022 3:20,10/23/2021 10:12
6,44,vel pede,3.77E+12,dictum,7,873,refused,417500 6777547247,620,12/22/2022 9:37,10/21/2022 8:27
7,59,et netus,3.77E+12,ac,24,638,accepted,4917 5692 1425 2575,574,12/13/2022 1:09,10/7/2021 5:02
8,4,consequat dolor,3.77E+12,vel,7,710,accepted,2.01E+14,659,1/24/2023 6:45,11/27/2022 1:46
9,111,posuere cubilia,3.77E+12,massa.,5,262,accepted,6761 5556 6164 5640,912,11/17/2022 1:53,12/9/2021 6:00
10,159,Donec fringilla.,3.77E+12,Morbi,9,613,accepted,4.92E+15,557,12/25/2022 11:28,2/10/2023 3:26
11,29,"malesuada vel,",3.77E+12,Duis,7,386,refused,490548 536296 8884,720,11/21/2022 7:59,9/26/2022 5:56
12,142,augue. Sed,3.77E+12,rutrum,5,518,refused,490 52527 86635 345,391,10/6/2022 11:05,1/15/2023 6:45
13,69,"dapibus rutrum,",3.77E+12,Maecenas,3,148,cancelled,2.15E+14,763,10/1/2022 5:18,11/21/2022 10:00
14,33,lobortis quam,3.77E+12,quam,3,405,cancelled,5.51E+15,141,12/5/2022 5:31,12/30/2022 6:59
15,141,sed dolor.,3.77E+12,"ornare,",5,748,accepted,3.02E+14,238,2/15/2023 3:02,1/18/2023 11:09
